Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5oO3drDxtziYU2H1X23ZIp,"Love On The Brain","ANTI (Deluxe)","Rihanna",2016-01-28,224000,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:11Z,"","Roc Nation / Rihanna",0.509,0.637,4,-4.83,0,0.047,0.0717,0.0000108,0.0789,0.379,172.007,3
3XCpS4k8WqNnCpcDOSRRuz,"Escapism. - Sped Up","Escapism.","RAYE,070 Shake",2022-12-07,239888,71,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:12Z,"","Human Re Sources",0.435,0.768,6,-5.352,0,0.201,0.0857,0.000231,0.0918,0.378,107.588,4
3BJe4B8zGnqEdQPMvfVjuS,"Summertime Sadness","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,265427,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:15Z,"","Polydor Records",0.565,0.654,1,-6.826,0,0.0335,0.0542,0.0000018,0.122,0.235,111.968,4
0fBSs3fRoh1yJcne77fdu9,"Video Games","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,281960,77,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:16Z,"","Polydor Records",0.236,0.249,6,-9.595,0,0.0348,0.811,0.000001,0.087,0.181,72.847,5
7eB1V5LvAdxCc7brfGhRRo,"watch","dont smile at me","Billie Eilish",2017-12-22,177523,79,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:18Z,"","Darkroom",0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,4
3taCbWWTilb7eNMsAzOBq4,"Radio","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,214573,74,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:27Z,"","Polydor Records",0.423,0.857,2,-5.173,1,0.0687,0.188,0.0000263,0.105,0.196,75.024,4
2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,80,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:37Z,"gangster rap,west coast rap,g-funk","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
62yJjFtgkhUrXktIoSjgP2,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,80,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:39Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,89,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:43Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
0BxE4FqsDD1Ot4YuBXwAPp,"505","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,253586,86,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:45Z,"indie,garage rock","Domino Recording Co",0.526,0.866,0,-5.822,1,0.0568,0.00287,0.0000778,0.0945,0.248,140.266,4
2Z5wXgysowvzl0nKGNGU0t,"Out of My League","More Than Just a Dream","Fitz and The Tantrums",2013-05-07,209386,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:57Z,"","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
7oWbeO9v3Cfs900q7JhLAs,"Come A Little Closer","Melophobia","Cage The Elephant",2013-10-08,229346,67,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:47:58Z,"współczesny rock","UMC (Universal Music Catalogue)",0.44,0.778,1,-1.786,0,0.0327,0.0265,0.00000104,0.151,0.304,148.038,4
0heE5tAAaDQmnGhVDImPl2,"Dynasty","Dynasty","MIIA",2016-01-29,225515,67,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:09Z,"","Epic Amsterdam",0.493,0.594,8,-4.404,0,0.0378,0.256,0,0.0759,0.304,123.751,4
3Nl5OkkmS5DaBZvuYofpAt,"the grudge","GUTS","Olivia Rodrigo",2023-09-08,189386,76,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:13Z,"","Olivia Rodrigo PS",0.511,0.313,10,-9.32,1,0.0846,0.905,0,0.0832,0.331,126.962,4
7fesNTgTEMEH0ye8MOgEDY,"teenage dream","GUTS","Olivia Rodrigo",2023-09-08,222358,71,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:16Z,"","Olivia Rodrigo PS",0.426,0.218,0,-11.705,1,0.0341,0.835,0,0.108,0.116,135.205,4
5sp71CUt0jXRNqHblPGp7b,"ballad of a homeschooled girl","GUTS","Olivia Rodrigo",2023-09-08,203369,71,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:18Z,"","Olivia Rodrigo PS",0.351,0.884,1,-3.452,1,0.074,0.0623,0,0.335,0.408,120.166,4
7ees95rN2dQT95yZdtWkzE,"Seventeen","The Family Jewels (Deluxe)","MARINA",2010-02-15,182160,62,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:20Z,"","WM UK",0.771,0.816,9,-5.755,0,0.031,0.326,0,0.136,0.799,130.016,4
4vlcTHpj4rGBPHGrA1wf2l,"W Dobrą Stronę","Annoyance and Disappointment","Dawid Podsiadło",2015-11-02,214416,58,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:23Z,"","Sony Music Entertainment",0.705,0.725,4,-5.957,1,0.0295,0.172,0,0.346,0.819,124.969,4
2vtmY2mSccRzKGjtcHSzI3,"Diet Mountain Dew","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,222920,77,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:25Z,"","Polydor Records",0.595,0.696,10,-5.921,0,0.0417,0.276,0,0.411,0.533,88.013,4
4RyK6N4IQ85xxLgguQAFH5,"Blue Jeans","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,209440,67,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:27Z,"","Polydor Records",0.558,0.837,3,-4.405,1,0.0633,0.418,0,0.0821,0.488,117.963,4
0uMZbmAAgOhdMrv25iPEH6,"Goth","White Light","Sidewalks and Skeletons",2015-03-05,207120,75,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:34Z,"witch house,dark wave","Sidewalks and Skeletons",0.558,0.697,1,-9.171,1,0.0325,0.00339,0.585,0.1,0.172,115.024,4
7bPWdJgx8vek7S5i5yAtvG,"Chemtrails Over The Country Club","Chemtrails Over The Country Club","Lana Del Rey",2021-03-19,271176,80,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:35Z,"","Polydor Records",0.334,0.276,4,-13.125,0,0.0643,0.877,0.000249,0.113,0.429,201.025,3
5CscrLqFBgPfZR8fGtikov,"making the bed","GUTS","Olivia Rodrigo",2023-09-08,198866,74,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:42Z,"","Olivia Rodrigo PS",0.55,0.409,7,-7.718,1,0.0316,0.386,0,0.122,0.252,133.099,4
1LzNfuep1bnAUR9skqdHCK,"Fade Into You","So Tonight That I Might See","Mazzy Star",1993-10-05,295600,84,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:44Z,"dream pop,shoegaze,slowcore","Capitol Records",0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
5LrN7yUQAzvthd4QujgPFr,"Here With Me","Petals to Thorns","d4vd",2023-05-26,242484,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:50Z,"","Darkroom/Interscope Records",0.575,0.45,4,-9.306,1,0.0259,0.531,0.0000659,0.124,0.263,132.039,4
1ZgMsA55GIY7ICkQh5MILA,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,74,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:51Z,"dream pop","Bella Union",0.508,0.786,0,-7.295,0,0.0293,0.226,0.14,0.143,0.611,147.077,4
6W9l02gRsXVxzIuQC1oc1X,"pretty isn’t pretty","GUTS","Olivia Rodrigo",2023-09-08,199422,72,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:56Z,"","Olivia Rodrigo PS",0.559,0.845,2,-4.394,1,0.0501,0.00243,0.00000146,0.0726,0.566,123.941,4
34sOdxWu9FljH84UXdRwu1,"all-american bitch","GUTS","Olivia Rodrigo",2023-09-08,165833,75,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:48:58Z,"","Olivia Rodrigo PS",0.421,0.695,6,-4.346,1,0.0428,0.218,0.00000297,0.155,0.45,156.344,4
0j3mqDTK4Z6lvrLzFCUUz6,"Good Looking","Good Looking","Suki Waterhouse",2022-08-18,214800,83,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:04Z,"","Sub Pop Records",0.365,0.554,4,-9.076,1,0.03,0.079,0.000358,0.125,0.259,150.11,3
0T7dLau2Ccr9CbeXtOB4vU,"Her Way - Sped Up","Her Way (Sped Up)","PARTYNEXTDOOR",2014-07-29,182164,53,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:06Z,"r&b","OVO Sound",0.459,0.521,1,-9.426,0,0.0342,0.0541,0.00396,0.104,0.122,132.163,4
5Mk1tgVrSuoWWwPVFNS0jB,"Loveeeeeee Song","Unapologetic (Deluxe)","Rihanna,Future",2012-12-11,256320,76,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:08Z,"rap","Def Jam Recordings",0.711,0.599,5,-7.597,0,0.0317,0.507,0,0.0971,0.502,119.983,4
4qG7hWhljsqqENL5PaLA2z,"Let The Light In (feat. Father John Misty)","Did you know that there's a tunnel under Ocean Blvd","Lana Del Rey,Father John Misty",2023-03-24,278126,79,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:11Z,"kameralny pop","Polydor Records",0.335,0.44,9,-9.748,1,0.0275,0.385,0.00251,0.115,0.198,132.449,4
6G2xXQRSZlEzYsUEb3uvuR,"Está Dañada","Alma Vacía","Ivan Cornejo",2021-08-20,214148,73,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:12Z,"smutne sierreño,trap corrido,corrido,música mexicana,sierreño","Manzana Records, Inc.",0.405,0.565,1,-9.266,0,0.0372,0.38,0.0195,0.107,0.166,159.892,3
1SKPmfSYaPsETbRHaiA18G,"Somewhere Only We Know","Hopes And Fears","Keane",2004-05-10,237146,85,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:19Z,"","Universal-Island Records Ltd.",0.448,0.665,9,-4.203,1,0.026,0.06,0.0000255,0.0828,0.304,172.004,4
1AM8QdDFZMq6SrrqUnuQ9P,"Feeling Good","It's Time","Michael Bublé",2005-02-08,237333,74,g67f3jh6yh9zz6intmi4rh3nk,2024-04-15T20:49:22Z,"","143/Reprise",0.535,0.548,1,-6.51,1,0.037,0.533,0.00000148,0.123,0.477,115.144,3
